SAFRA,Município,REGIAO,PRODUCAO
15/16,Francisco Alves,Noroeste,59.84
16/17,Francisco Alves,Noroeste,56.67
17/18,Francisco Alves,Noroeste,60.0
18/19,Francisco Alves,Noroeste,28.33
19/20,Francisco Alves,Noroeste,58.33
20/21,Francisco Alves,Noroeste,55.0
21/22,Francisco Alves,Noroeste,8.0
22/23,Francisco Alves,Noroeste,30.0
23/24,Francisco Alves,Noroeste,33.33
96/97,Francisco Alves,Noroeste,32.58
97/98,Francisco Alves,Noroeste,33.01
98/99,Francisco Alves,Noroeste,47.5
99/00,Francisco Alves,Noroeste,36.67
00/01,Imbaú,Sul,48.33
01/02,Imbaú,Sul,48.33
02/03,Imbaú,Sul,50.0
03/04,Imbaú,Sul,46.67
04/05,Imbaú,Sul,35.0
05/06,Imbaú,Sul,48.33
06/07,Imbaú,Sul,50.0
07/08,Imbaú,Sul,45.0
08/09,Imbaú,Sul,45.5
09/10,Imbaú,Sul,50.0
10/11,Imbaú,Sul,53.33
11/12,Imbaú,Sul,50.0
12/13,Imbaú,Sul,58.33
13/14,Imbaú,Sul,42.95
14/15,Imbaú,Sul,56.14
15/16,Imbaú,Sul,54.03
16/17,Imbaú,Sul,63.33
17/18,Imbaú,Sul,61.67
18/19,Imbaú,Sul,51.67
19/20,Imbaú,Sul,62.79
20/21,Imbaú,Sul,61.26
21/22,Imbaú,Sul,59.48
22/23,Imbaú,Sul,61.32
23/24,Imbaú,Sul,58.07
96/97,Imbaú,Sul,41.67
97/98,Imbaú,Sul,41.67
98/99,Imbaú,Sul,41.67
99/00,Imbaú,Sul,46.67
00/01,Lindoeste,Oeste,48.33
01/02,Lindoeste,Oeste,47.5
02/03,Lindoeste,Oeste,46.67
03/04,Lindoeste,Oeste,48.0
04/05,Lindoeste,Oeste,37.96
05/06,Lindoeste,Oeste,30.0
06/07,Lindoeste,Oeste,58.33
07/08,Lindoeste,Oeste,53.61
08/09,Lindoeste,Oeste,46.67
09/10,Lindoeste,Oeste,52.89
10/11,Lindoeste,Oeste,53.33
11/12,Lindoeste,Oeste,33.33
12/13,Lindoeste,Oeste,55.78
13/14,Lindoeste,Oeste,58.33
14/15,Lindoeste,Oeste,53.97
15/16,Lindoeste,Oeste,57.8
16/17,Lindoeste,Oeste,57.5
17/18,Lindoeste,Oeste,61.98
18/19,Lindoeste,Oeste,48.33
19/20,Lindoeste,Oeste,68.0
20/21,Lindoeste,Oeste,63.33
21/22,Lindoeste,Oeste,18.67
22/23,Lindoeste,Oeste,75.0
23/24,Lindoeste,Oeste,57.85
96/97,Lindoeste,Oeste,43.95
97/98,Lindoeste,Oeste,41.67
98/99,Lindoeste,Oeste,41.67
99/00,Lindoeste,Oeste,41.67
00/01,Mato Rico,Sul,47.52
01/02,Mato Rico,Sul,48.33
02/03,Mato Rico,Sul,53.33
03/04,Mato Rico,Sul,46.67
04/05,Mato Rico,Sul,35.83
05/06,Mato Rico,Sul,41.67
06/07,Mato Rico,Sul,48.33
07/08,Mato Rico,Sul,50.0
08/09,Mato Rico,Sul,48.33
09/10,Mato Rico,Sul,51.67
10/11,Mato Rico,Sul,54.17
11/12,Mato Rico,Sul,50.0
12/13,Mato Rico,Sul,41.67
13/14,Mato Rico,Sul,50.0
14/15,Mato Rico,Sul,50.0
15/16,Mato Rico,Sul,39.17
16/17,Mato Rico,Sul,62.5
17/18,Mato Rico,Sul,63.33
18/19,Mato Rico,Norte,55.83
19/20,Mato Rico,Sul,61.67
20/21,Mato Rico,Sul,57.83
21/22,Mato Rico,Norte,36.67
22/23,Mato Rico,Sul,58.33
23/24,Mato Rico,Sul,55.83
96/97,Mato Rico,Sul,36.67
97/98,Mato Rico,Sul,36.67
98/99,Mato Rico,Sul,36.67
99/00,Mato Rico,Sul,41.33
00/01,Moreira Sales,Centro-oeste,47.52
01/02,Moreira Sales,Centro-oeste,49.58
02/03,Moreira Sales,Centro-oeste,45.45
03/04,Moreira Sales,Centro-oeste,39.25
04/05,Moreira Sales,Centro-oeste,35.0
05/06,Moreira Sales,Centro-oeste,41.33
06/07,Moreira Sales,Centro-oeste,50.0
07/08,Moreira Sales,Centro-oeste,44.67
