municipio,SAFRA,Latitude,Longitude,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),ano,mes,NDVI,AREA_TOTAL,REGIAO,Solo
Antonina,00/01,-25.100000000000005,-48.7167,500.0,25.54683962264151,16.793066037735848,20.675047169811318,86.5620283018868,0.035330188679245284,17.027405660377358,6.007169811320755,2000.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,01/02,-25.100000000000005,-48.7167,500.0,25.054481132075473,16.408396226415093,20.247264150943398,85.78740566037736,0.0394811320754717,17.47811320754717,5.165943396226416,2001.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,02/03,-25.100000000000005,-48.7167,500.0,26.608773584905663,16.883490566037736,21.129056603773584,83.49141509433963,0.03443396226415094,17.396037735849056,5.5333490566037735,2002.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,03/04,-25.1,-48.7167,500.0,25.452723004694835,15.502441314553991,19.78201877934272,82.6437558685446,0.025868544600938966,16.667464788732396,4.961549295774647,2003.4272300469484,6.873239436619718,,,,Cambissolo Háplico distrófico
Antonina,04/05,-25.100000000000005,-48.7167,500.0,26.05231132075472,16.11948113207547,20.427169811320756,82.20584905660377,0.0264622641509434,16.472216981132075,4.015188679245283,2004.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,05/06,-25.100000000000005,-48.7167,500.0,25.245235849056602,16.16268867924528,20.154999999999998,84.93872641509434,0.027122641509433963,16.48622641509434,4.953584905660378,2005.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,06/07,-25.100000000000005,-48.7167,500.0,26.062641509433963,16.473584905660378,20.59254716981132,82.82905660377358,0.027452830188679247,16.993537735849056,5.148207547169812,2006.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,07/08,-25.1,-48.7167,500.0,26.23830985915493,16.40638497652582,20.637511737089202,82.32441314553989,0.031173708920187792,16.713521126760565,4.398920187793427,2007.4272300469484,6.873239436619718,,,,Cambissolo Háplico distrófico
Antonina,08/09,-25.100000000000005,-48.7167,500.0,25.889433962264153,16.100896226415095,20.211556603773587,81.9972641509434,0.027122641509433963,16.00509433962264,3.8593396226415093,2008.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,09/10,-25.100000000000005,-48.7167,500.0,25.052122641509435,17.340424528301888,20.81556603773585,89.37268867924527,0.030660377358490566,15.595943396226415,7.6525,2009.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,10/11,-25.100000000000005,-48.7167,500.0,24.286462264150945,16.165990566037735,19.77825471698113,88.08575471698113,0.02419811320754717,15.748867924528302,6.03438679245283,2010.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
Antonina,11/12,-25.1,-48.7167,500.0,24.485492957746477,15.356525821596245,19.439107981220655,84.90586854460095,0.044929577464788734,17.763333333333335,3.7562910798122067,2011.4272300469484,6.873239436619718,,,,Cambissolo Háplico distrófico
Antonina,12/13,-25.100000000000005,-48.7167,500.0,26.767452830188677,16.578584905660378,20.92443396226415,80.94948113207548,0.023113207547169813,16.307028301886792,4.250801886792453,2012.4245283018868,6.89622641509434,,,,Cambissolo Háplico distrófico
