municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,03/04,2004,3,Norte,Nitossolo Vermelho eutrófico,420.0,30.700000000000003,18.859032258064516,24.372258064516128,70.63903225806452,2.210322580645161,21.289032258064516,85.62,0.501775,12000.0,31200.0,43.33
Bandeirantes,04/05,2004,9,Norte,Nitossolo Vermelho eutrófico,420.0,33.528333333333336,16.703333333333333,24.442333333333334,56.96566666666667,2.759,18.621,32.64,0.238825,15500.0,29450.0,31.67
Bandeirantes,04/05,2004,10,Norte,Nitossolo Vermelho eutrófico,420.0,28.831612903225807,17.075161290322583,22.600322580645162,72.0374193548387,2.871935483870968,18.51322580645161,243.34,0.3016,15500.0,29450.0,31.67
Bandeirantes,04/05,2004,11,Norte,Nitossolo Vermelho eutrófico,420.0,28.940333333333335,18.09,23.518666666666665,76.19833333333332,2.472,21.95266666666667,135.85,0.4233,15500.0,29450.0,31.67
Bandeirantes,04/05,2004,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.815806451612904,19.006129032258066,24.475161290322582,72.90354838709676,2.23,22.79290322580645,137.37,0.64425,15500.0,29450.0,31.67
Bandeirantes,04/05,2005,1,Norte,Nitossolo Vermelho eutrófico,420.0,28.313870967741938,20.80354838709677,24.5058064516129,84.84322580645161,2.309032258064516,17.955483870967743,339.16,0.8532,15500.0,29450.0,31.67
Bandeirantes,04/05,2005,2,Norte,Nitossolo Vermelho eutrófico,420.0,30.271785714285716,19.34357142857143,24.823571428571427,72.88321428571429,2.137857142857143,24.32107142857143,33.36,0.700475,15500.0,29450.0,31.67
Bandeirantes,04/05,2005,3,Norte,Nitossolo Vermelho eutrófico,420.0,32.96709677419355,20.276129032258062,26.121935483870967,66.48387096774194,2.2183870967741934,20.38258064516129,71.53999999999999,0.4813,15500.0,29450.0,31.67
Bandeirantes,05/06,2005,9,Norte,Nitossolo Vermelho eutrófico,420.0,26.945333333333334,14.550666666666666,20.279999999999998,74.27466666666666,3.0206666666666666,14.936333333333332,128.29,0.44179999999999997,16300.0,36349.0,37.17
Bandeirantes,05/06,2005,10,Norte,Nitossolo Vermelho eutrófico,420.0,29.006129032258062,19.023548387096774,23.830645161290324,79.08129032258064,2.321290322580645,16.24838709677419,211.01,0.4648666666666667,16300.0,36349.0,37.17
Bandeirantes,05/06,2005,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.785666666666668,17.953333333333333,24.027333333333335,70.694,3.013,23.651,70.97,0.39395,16300.0,36349.0,37.17
Bandeirantes,05/06,2005,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.721290322580646,18.92516129032258,24.169677419354837,75.20483870967742,2.8048387096774197,23.236451612903227,169.52,0.618425,16300.0,36349.0,37.17
Bandeirantes,05/06,2006,1,Norte,Nitossolo Vermelho eutrófico,420.0,31.195483870967742,21.294516129032257,25.970000000000002,74.00225806451614,1.802258064516129,22.62258064516129,110.91,0.8068,16300.0,36349.0,37.17
Bandeirantes,05/06,2006,2,Norte,Nitossolo Vermelho eutrófico,420.0,29.62642857142857,20.81107142857143,25.074285714285715,79.06071428571428,1.8746428571428573,19.895000000000003,227.8,0.732575,16300.0,36349.0,37.17
Bandeirantes,05/06,2006,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.89548387096774,21.056451612903224,25.136451612903226,80.02709677419355,2.114193548387097,19.148387096774194,95.78,0.5001,16300.0,36349.0,37.17
Bandeirantes,06/07,2006,9,Norte,Nitossolo Vermelho eutrófico,420.0,28.675666666666665,14.071333333333333,20.84,65.73966666666666,2.975,17.059,117.83,0.341375,14350.0,39462.5,45.83
Bandeirantes,06/07,2006,10,Norte,Nitossolo Vermelho eutrófico,420.0,30.331290322580646,18.489677419354837,24.239032258064515,71.97322580645161,2.4629032258064516,21.009354838709676,115.28,0.39270000000000005,14350.0,39462.5,45.83
Bandeirantes,06/07,2006,11,Norte,Nitossolo Vermelho eutrófico,420.0,33.169000000000004,19.961666666666666,26.33833333333333,62.41733333333333,2.7816666666666667,21.630666666666666,75.23,0.31022500000000003,14350.0,39462.5,45.83
Bandeirantes,06/07,2006,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.792580645161287,21.150967741935485,25.359354838709677,78.94677419354838,2.291935483870968,21.162258064516127,256.56,0.586275,14350.0,39462.5,45.83
Bandeirantes,06/07,2007,1,Norte,Nitossolo Vermelho eutrófico,420.0,28.088709677419356,21.521935483870966,24.591290322580647,87.0941935483871,2.4035483870967744,18.32193548387097,324.56,0.8169,14350.0,39462.5,45.83
Bandeirantes,06/07,2007,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.728571428571428,20.628214285714286,24.60107142857143,82.42714285714285,1.957142857142857,21.961071428571426,144.47,0.6672,14350.0,39462.5,45.83
Bandeirantes,06/07,2007,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.234193548387097,20.32967741935484,24.85258064516129,78.47096774193548,1.4774193548387096,21.370645161290323,138.92,0.5851,14350.0,39462.5,45.83
Bandeirantes,07/08,2007,9,Norte,Nitossolo Vermelho eutrófico,420.0,32.681666666666665,16.843,24.050666666666665,58.95233333333333,3.1783333333333332,19.09733333333333,14.68,0.32845,13400.0,38190.0,47.5
Bandeirantes,07/08,2007,10,Norte,Nitossolo Vermelho eutrófico,420.0,34.071612903225805,19.01451612903226,26.08709677419355,58.95903225806452,2.8177419354838706,19.62548387096774,65.75,0.3846333333333334,13400.0,38190.0,47.5
Bandeirantes,07/08,2007,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.330666666666666,18.601,24.221666666666668,71.32266666666666,2.8873333333333333,22.384333333333334,161.72,0.4951,13400.0,38190.0,47.5
Bandeirantes,07/08,2007,12,Norte,Nitossolo Vermelho eutrófico,420.0,30.76290322580645,19.885483870967743,25.294193548387096,71.88000000000001,2.002258064516129,23.43903225806452,187.77,0.603625,13400.0,38190.0,47.5
Bandeirantes,07/08,2008,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.896774193548385,20.264193548387095,24.832903225806454,76.32322580645162,2.758709677419355,18.674516129032256,158.71,0.77155,13400.0,38190.0,47.5
Bandeirantes,07/08,2008,2,Norte,Nitossolo Vermelho eutrófico,420.0,30.058620689655175,20.464827586206898,25.057241379310344,76.60275862068966,1.8910344827586205,20.5848275862069,155.41,0.86905,13400.0,38190.0,47.5
Bandeirantes,07/08,2008,3,Norte,Nitossolo Vermelho eutrófico,420.0,28.988064516129032,19.03516129032258,23.708064516129035,77.53129032258065,2.3206451612903227,20.12258064516129,115.81,0.7126,13400.0,38190.0,47.5
Bandeirantes,08/09,2008,9,Norte,Nitossolo Vermelho eutrófico,420.0,28.383,13.266333333333334,20.282333333333334,66.27933333333334,2.9993333333333334,19.75133333333333,66.8,0.359,13550.0,26829.0,33.0
Bandeirantes,08/09,2008,10,Norte,Nitossolo Vermelho eutrófico,420.0,30.42967741935484,18.517419354838708,24.094193548387096,72.02193548387096,2.7145161290322584,18.088387096774195,120.06,0.455275,13550.0,26829.0,33.0
