municipio,SAFRA,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,13/14,Norte,Nitossolo Vermelho eutrófico,420.0,30.677169811320756,19.184575471698114,24.678396226415092,70.91882075471699,2.46127358490566,20.927971698113204,920.53,0.5948975628930818,16190.0,23637.4,24.33
Bandeirantes,14/15,Norte,Nitossolo Vermelho eutrófico,420.0,30.176603773584905,19.624481132075474,24.647735849056602,74.17316037735849,2.2769339622641507,20.82268867924528,1004.05,0.5278598663522013,17480.0,46147.2,44.0
Bandeirantes,15/16,Norte,Nitossolo Vermelho eutrófico,420.0,28.828262910798124,20.126150234741782,24.29737089201878,82.17112676056338,2.1786854460093896,18.60924882629108,1717.77,0.6418773865414711,18160.0,50121.6,46.0
Bandeirantes,16/17,Norte,Nitossolo Vermelho eutrófico,420.0,29.094622641509435,18.90325471698113,23.767311320754718,76.90382075471699,2.2700943396226414,21.08254716981132,901.29,0.6167745283018868,18200.0,63336.0,58.0
Bandeirantes,17/18,Norte,Nitossolo Vermelho eutrófico,420.0,29.790377358490566,19.37801886792453,24.31084905660377,76.33443396226414,2.369858490566038,20.064056603773583,1204.07,0.6045555817610063,18240.0,56908.8,52.0
Bandeirantes,18/19,Norte,Nitossolo Vermelho eutrófico,420.0,29.928632075471697,19.795235849056603,24.705047169811323,76.08264150943397,2.227311320754717,20.763584905660377,1018.76,0.6020564465408805,18250.0,49275.0,45.0
Bandeirantes,19/20,Norte,Nitossolo Vermelho eutrófico,420.0,32.26131455399061,19.810704225352115,25.73830985915493,67.6443661971831,2.48981220657277,21.045211267605634,832.95,0.5157978873239436,18250.0,60225.0,55.0
Bandeirantes,20/21,Norte,Nitossolo Vermelho eutrófico,420.0,32.27849056603774,19.837924528301887,25.75702830188679,67.04424528301887,2.24872641509434,21.289669811320753,698.39,0.5313320754716981,18320.0,62654.4,57.0
Bandeirantes,21/22,Norte,Nitossolo Vermelho eutrófico,420.0,32.03240566037736,19.555613207547168,25.50306603773585,67.17768867924528,2.352075471698113,21.243066037735847,858.02,0.5722990566037736,18250.0,52560.0,48.0
Bandeirantes,22/23,Norte,Nitossolo Vermelho eutrófico,420.0,28.81117924528302,18.562075471698112,23.43872641509434,76.66915094339623,2.366981132075472,19.528160377358493,1072.41,0.5787314072327044,18800.0,66552.0,59.0
Bandeirantes,23/24,Norte,Nitossolo Vermelho eutrófico,420.0,34.32868544600939,21.322394366197184,27.490845070422537,63.473474178403755,2.374507042253521,20.766525821596247,668.04,0.5562124804381847,18400.0,34224.0,31.0
Bandeirantes,99/00,Norte,Nitossolo Vermelho eutrófico,420.0,28.2605,19.704833333333333,23.817333333333334,82.5925,2.26,19.162166666666668,390.17,0.7202525000000001,7500.0,13013.0,28.92
Campina do Simão,00/01,Sul,Latossolo Bruno distrófico,994.0,24.601650943396226,15.989811320754718,20.021415094339623,85.81580188679246,0.21117924528301887,18.85547169811321,1553.8,0.7750985849056603,3400.0,9860.0,48.33
Campina do Simão,01/02,Sul,Latossolo Bruno distrófico,994.0,24.39382075471698,15.291132075471698,19.572216981132076,83.92603773584905,0.2164622641509434,20.047830188679246,1113.81,0.8168908018867924,4300.0,10965.0,42.5
Campina do Simão,02/03,Sul,Latossolo Bruno distrófico,994.0,24.785613207547172,15.993584905660377,20.07632075471698,85.49622641509434,0.2119811320754717,18.70759433962264,1442.6299999999999,0.8136360455974843,4900.0,13720.0,46.67
Campina do Simão,03/04,Sul,Latossolo Bruno distrófico,994.0,25.245727699530516,14.66018779342723,19.65112676056338,77.78098591549295,0.2164319248826291,20.959248826291077,1076.22,0.7820721048513302,5600.0,14560.0,43.33
Campina do Simão,04/05,Sul,Latossolo Bruno distrófico,994.0,25.666462264150944,15.474481132075473,20.315235849056602,78.79476415094341,0.2215566037735849,20.03377358490566,943.79,0.7733718160377359,6100.0,12200.0,33.33
Campina do Simão,05/06,Sul,Latossolo Bruno distrófico,994.0,25.117783018867925,15.61061320754717,20.099245283018867,81.72287735849056,0.2065566037735849,19.231792452830188,1155.7,0.7925842374213837,5900.0,14750.0,41.67
