municipio,SAFRA,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA,GDD,VPD,NDVI_x_RS,NDVI_Quadrado,Tmed_Quadrado,Desvio_Temp_Otima,Chuva_Total_Safra_Anterior,NDVI_Medio_Safra_Anterior
Bandeirantes,00/01,Norte,Nitossolo Vermelho eutrófico,420.0,29.880471698113208,19.50995283018868,24.492264150943395,75.2286320754717,2.172075471698113,20.746556603773588,1041.37,0.5910834905660377,7500.0,19500.0,43.33,14.695212264150946,0.7612804065926424,12.262947094584373,0.3493796928197312,599.871003239587,0.2423239943040217,,
Bandeirantes,01/02,Norte,Nitossolo Vermelho eutrófico,420.0,30.07674528301887,18.87089622641509,24.238490566037736,73.13566037735849,2.350566037735849,21.33448113207547,994.95,0.5996129716981132,9000.0,17100.0,31.67,14.473820754716982,0.8131564415660986,12.7924316312411,0.35953571582864235,587.5044249199003,0.056877750088999875,1041.37,0.5910834905660377
Bandeirantes,02/03,Norte,Nitossolo Vermelho eutrófico,420.0,30.046179245283017,19.585990566037733,24.58853773584906,75.1152358490566,2.2524056603773586,20.241650943396223,1104.1,0.5130772798742138,9900.0,25740.0,43.33,14.816084905660375,0.7691790253450902,10.385531206201048,0.2632482951231223,604.5961879872732,0.3463766665183364,994.95,0.5996129716981132
Bandeirantes,03/04,Norte,Nitossolo Vermelho eutrófico,420.0,30.60676056338028,18.29948356807512,24.152629107981223,70.18356807511738,2.5887323943661973,21.57525821596244,799.16,0.585323082942097,12000.0,31200.0,43.33,14.453122065727701,0.8978809986470038,12.628496654238942,0.34260311142484096,583.3494928277019,0.02329564460314389,1104.1,0.5130772798742138
Bandeirantes,04/05,Norte,Nitossolo Vermelho eutrófico,420.0,30.374764150943395,18.7613679245283,24.352311320754715,71.7922641509434,2.4306603773584903,20.59985849056604,993.26,0.5196599056603773,15500.0,29450.0,31.67,14.568066037735846,0.8596594963534799,10.70492051982467,0.27004641755095227,593.0350666629582,0.12412326673193202,799.16,0.585323082942097
Bandeirantes,05/06,Norte,Nitossolo Vermelho eutrófico,420.0,29.60301886792453,19.090188679245284,24.073632075471696,76.04028301886792,2.423679245283019,19.96985849056604,1014.28,0.564530856918239,16300.0,36349.0,37.17,14.346603773584906,0.7181039877932343,11.273601326215218,0.3186950884128412,579.5397613051797,0.00542168253826959,993.26,0.5196599056603773
Bandeirantes,06/07,Norte,Nitossolo Vermelho eutrófico,420.0,29.7197641509434,19.45679245283019,24.407971698113208,75.30051886792452,2.335896226415094,20.34617924528302,1172.85,0.5284897405660377,14350.0,39462.5,45.83,14.588278301886795,0.7552535386469926,10.752746990849724,0.27930140588355784,595.7490824158954,0.16644090646137452,1014.28,0.564530856918239
Bandeirantes,07/08,Norte,Nitossolo Vermelho eutrófico,420.0,30.97356807511737,19.159530516431925,24.753145539906104,70.21234741784038,2.552535211267606,20.55924882629108,859.85,0.5941483959311424,13400.0,38190.0,47.5,15.06654929577465,0.9298204916052631,12.215244711690067,0.3530123163875496,612.7182141197734,0.5672282042804565,1172.85,0.5284897405660377
Bandeirantes,08/09,Norte,Nitossolo Vermelho eutrófico,420.0,29.89330188679245,18.676698113207543,24.03721698113208,73.23056603773584,2.411179245283019,20.770707547169813,959.56,0.6222380896226416,13550.0,26829.0,33.0,14.284999999999997,0.8005639015368449,12.924325384261529,0.38718024017723457,577.7878001980245,0.0013851036845855611,859.85,0.5941483959311424
Bandeirantes,09/10,Norte,Nitossolo Vermelho eutrófico,420.0,28.418066037735848,19.885518867924524,24.014150943396228,83.29132075471698,2.2662264150943394,18.95674528301887,1484.3,0.6318123034591195,13700.0,40826.0,49.67,14.151792452830186,0.4989968300034396,11.97710490335195,0.39918678680231856,576.679445532218,0.00020024919900324002,959.56,0.6222380896226416
Bandeirantes,10/11,Norte,Nitossolo Vermelho eutrófico,420.0,29.532028301886797,18.93292452830189,23.95735849056604,74.93122641509434,2.389103773584906,19.82792452830189,977.08,0.5901764544025158,14140.0,49207.2,58.0,14.232476415094343,0.7461191157863762,11.701974196273884,0.34830824733112475,573.9550258454967,0.0018182983268064665,1484.3,0.6318123034591195
Bandeirantes,11/12,Norte,Nitossolo Vermelho eutrófico,420.0,31.572957746478878,18.53164319248826,24.76070422535211,66.09018779342722,2.4807042253521128,22.332910798122064,742.49,0.5537732785602504,14500.0,32349.5,37.18,15.05230046948357,1.058971117929654,12.367369232469674,0.30666484404736866,613.0924737353698,0.578670918468555,977.08,0.5901764544025158
Bandeirantes,12/13,Norte,Nitossolo Vermelho eutrófico,420.0,31.184150943396222,19.569433962264156,25.085283018867923,70.62014150943396,2.498584905660377,20.37264150943396,835.59,0.5832165094339623,15500.0,50220.0,54.0,15.376792452830188,0.9354269098272129,11.881660869081523,0.34014149687633505,629.2714241367033,1.177839231043072,742.49,0.5537732785602504
Bandeirantes,13/14,Norte,Nitossolo Vermelho eutrófico,420.0,30.67716981132076,19.184575471698118,24.67839622641509,70.91882075471699,2.46127358490566,20.927971698113204,920.53,0.5948975628930818,16190.0,23637.4,24.33,14.930872641509438,0.9037263952225398,12.449999359502936,0.35390311033612826,609.0232403079385,0.46022144001423226,835.59,0.5832165094339623
