municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA,GDD,VPD,NDVI_x_RS,NDVI_Quadrado,Tmed_Quadrado,Desvio_Temp_Otima,Chuva_Total_Safra_Anterior,NDVI_Medio_Safra_Anterior
Bandeirantes,01/02,2002,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.71821428571429,19.124642857142856,23.818214285714284,79.02714285714285,2.1610714285714283,21.55,138.24,0.7799000000000001,9000.0,17100.0,31.67,13.92142857142857,0.6190168207002059,16.806845000000003,0.6082440100000003,567.307331760204,0.03304604591836813,1041.3700000000001,0.5925571428571429
Bandeirantes,01/02,2002,3,Norte,Nitossolo Vermelho eutrófico,420.0,31.256129032258062,20.73935483870968,25.807096774193543,74.51935483870967,1.8003225806451613,21.738387096774197,92.44,0.5932,9000.0,17100.0,31.67,15.997741935483873,0.846797897759426,12.895211225806452,0.35188623999999996,666.0062439125908,3.2655987513007076,1041.3700000000001,0.5925571428571429
Bandeirantes,02/03,2002,9,Norte,Nitossolo Vermelho eutrófico,420.0,28.523,14.339,20.805666666666664,66.53266666666667,2.8516666666666666,18.58933333333333,88.73,0.285925,9900.0,25740.0,43.33,11.431000000000001,0.8224506340694236,5.315155133333332,0.08175310562499999,432.8757654444443,10.203765444444464,994.95,0.600907142857143
Bandeirantes,02/03,2002,10,Norte,Nitossolo Vermelho eutrófico,420.0,35.02193548387097,20.307741935483868,27.107741935483872,60.46806451612903,2.732258064516129,19.35967741935484,70.62,0.2683333333333333,9900.0,25740.0,43.33,17.66483870967742,1.4183815534046305,5.194846774193548,0.07200277777777776,734.829672840791,9.658059937565046,994.95,0.600907142857143
Bandeirantes,02/03,2002,11,Norte,Nitossolo Vermelho eutrófico,420.0,29.880333333333333,19.284333333333333,24.454666666666665,74.46233333333333,2.651,20.31566666666667,262.90000000000003,0.334925,9900.0,25740.0,43.33,14.582333333333331,0.7830677795551225,6.804224658333333,0.11217475562499998,598.0307217777777,0.20672177777777587,994.95,0.600907142857143
Bandeirantes,02/03,2002,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.78483870967742,20.57354838709677,25.216451612903228,79.58,2.0458064516129038,23.26225806451613,159.1,0.5205999999999998,9900.0,25740.0,43.33,15.179193548387097,0.6552472148729552,12.110331548387093,0.27102435999999985,635.8694319458898,1.4797545265348646,994.95,0.600907142857143
Bandeirantes,02/03,2003,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.107096774193547,21.35903225806452,25.16741935483871,82.2732258064516,1.8577419354838711,18.333548387096776,278.22,0.7882750000000001,9900.0,25740.0,43.33,15.233064516129033,0.5671691531174075,14.451877854838713,0.6213774756250001,633.3989969823101,1.3628679500520302,994.95,0.600907142857143
Bandeirantes,02/03,2003,2,Norte,Nitossolo Vermelho eutrófico,420.0,29.30107142857143,21.50857142857143,25.374642857142856,81.98928571428571,1.481428571428571,21.59392857142857,141.17,0.8263499999999999,9900.0,25740.0,43.33,15.40482142857143,0.5833959485478445,17.844142874999996,0.6828543224999999,643.872500127551,1.8896429846938743,994.95,0.600907142857143
Bandeirantes,02/03,2003,3,Norte,Nitossolo Vermelho eutrófico,420.0,28.578387096774197,19.73677419354839,23.94290322580645,80.8683870967742,2.104516129032258,20.31709677419355,103.36,0.584375,9900.0,25740.0,43.33,14.157580645161293,0.5689180474424278,11.872803427419356,0.341494140625,573.2626148803329,0.0032600416233092085,994.95,0.600907142857143
Bandeirantes,03/04,2003,9,Norte,Nitossolo Vermelho eutrófico,420.0,29.097,14.558,21.17866666666667,66.26966666666667,2.6983333333333333,18.476,68.3,0.3806,12000.0,31200.0,43.33,11.8275,0.8481257161630122,7.0319655999999995,0.14485636,448.53592177777784,7.959921777777769,1104.1000000000001,0.5155404761904762
