municipio,SAFRA,REGIAO,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Diamante do Sul,04/05,Sul,800,1600.0,33.33
Diamante do Sul,05/06,Sul,2550,7650.0,50.0
Diamante do Sul,06/07,Sul,800,2440.0,50.83
Diamante do Sul,07/08,Sul,980,3116.0,52.99
Diamante do Sul,08/09,Sul,1300,2390.0,30.64
Diamante do Sul,09/10,Sul,1910,5407.8,47.19
Diamante do Sul,10/11,Sul,1330,4079.5,51.12
Diamante do Sul,11/12,Sul,1100,1914.0,29.0
Diamante do Sul,12/13,Sul,1050,3255.0,51.67
Diamante do Sul,13/14,Sul,1270,3784.6,49.67
Diamante do Sul,14/15,Sul,2000,6300.0,52.5
Diamante do Sul,15/16,Sul,1700,4930.0,48.33
Diamante do Sul,16/17,Sul,1600,5760.0,60.0
Diamante do Sul,17/18,Sul,1700,5270.0,51.67
Diamante do Sul,18/19,Sul,1600,4768.0,49.67
Diamante do Sul,19/20,Sul,1900,7068.0,62.0
Diamante do Sul,20/21,Sul,2000,6200.0,51.67
Diamante do Sul,21/22,Sul,2600,3536.0,22.67
Diamante do Sul,22/23,Sul,2705,11048.5,68.07
Diamante do Sul,23/24,Sul,3005,9308.05,51.63
Diamante do Sul,96/97,Sul,50,150.0,50.0
Diamante do Sul,97/98,Sul,70,210.0,50.0
Diamante do Sul,98/99,Sul,96,297.6,51.67
Diamante do Sul,99/00,Sul,96,297.6,51.67
Francisco Alves,00/01,Noroeste,3910,13492.5,57.51
Francisco Alves,01/02,Noroeste,5000,16750.0,55.83
Francisco Alves,02/03,Noroeste,9000,27000.0,50.0
Francisco Alves,03/04,Noroeste,15000,30000.0,33.33
Francisco Alves,04/05,Noroeste,16000,48000.0,50.0
Francisco Alves,05/06,Noroeste,15300,22860.0,24.9
Francisco Alves,06/07,Noroeste,14077,41077.0,48.63
Francisco Alves,07/08,Noroeste,13507,33757.0,41.65
Francisco Alves,08/09,Noroeste,13890,16586.4,19.9
Francisco Alves,09/10,Noroeste,13820,43994.0,53.06
Francisco Alves,10/11,Noroeste,13730,43909.0,53.3
Francisco Alves,11/12,Noroeste,14350,19447.0,22.59
Francisco Alves,12/13,Noroeste,15485,43729.0,47.07
Francisco Alves,13/14,Noroeste,16250,38950.0,39.95
Francisco Alves,14/15,Noroeste,16860,51690.0,51.1
Francisco Alves,15/16,Noroeste,17080,61320.0,59.84
Francisco Alves,16/17,Noroeste,17250,58650.0,56.67
Francisco Alves,17/18,Noroeste,18400,66240.0,60.0
Francisco Alves,18/19,Noroeste,18600,31620.0,28.33
Francisco Alves,19/20,Noroeste,19000,66500.0,58.33
Francisco Alves,20/21,Noroeste,19000,62700.0,55.0
Francisco Alves,21/22,Noroeste,19000,9120.0,8.0
Francisco Alves,22/23,Noroeste,19750,35550.0,30.0
Francisco Alves,23/24,Noroeste,19080,38160.0,33.33
Francisco Alves,96/97,Noroeste,2100,4105.0,32.58
Francisco Alves,97/98,Noroeste,3100,6140.0,33.01
Francisco Alves,98/99,Noroeste,3500,9975.0,47.5
Francisco Alves,99/00,Noroeste,4000,8800.0,36.67
Imbaú,00/01,Sul,1100,3190.0,48.33
Imbaú,01/02,Sul,1300,3770.0,48.33
Imbaú,02/03,Sul,1500,4500.0,50.0
Imbaú,03/04,Sul,1500,4200.0,46.67
Imbaú,04/05,Sul,1750,3675.0,35.0
Imbaú,05/06,Sul,1300,3770.0,48.33
Imbaú,06/07,Sul,2000,6000.0,50.0
Imbaú,07/08,Sul,1800,4860.0,45.0
Imbaú,08/09,Sul,1800,4914.0,45.5
Imbaú,09/10,Sul,2000,6000.0,50.0
Imbaú,10/11,Sul,2350,7520.0,53.33
Imbaú,11/12,Sul,2300,6900.0,50.0
Imbaú,12/13,Sul,2450,8575.0,58.33
Imbaú,13/14,Sul,2080,5360.0,42.95
Imbaú,14/15,Sul,2220,7478.0,56.14
Imbaú,15/16,Sul,2225,7212.5,54.03
Imbaú,16/17,Sul,2055,7809.0,63.33
Imbaú,17/18,Sul,2270,8399.0,61.67
Imbaú,18/19,Sul,3280,10168.0,51.67
Imbaú,19/20,Sul,3050,11490.0,62.79
Imbaú,20/21,Sul,3050,11210.0,61.26
Imbaú,21/22,Sul,2750,9815.0,59.48
Imbaú,22/23,Sul,2850,10485.0,61.32
Imbaú,23/24,Sul,2850,9930.0,58.07
Imbaú,96/97,Sul,280,700.0,41.67
Imbaú,97/98,Sul,1000,2500.0,41.67
Imbaú,98/99,Sul,1200,3000.0,41.67
